3,1,405.59,254.19,80.00,40.00,1,-1,-1,-1
3,2,105.59,154.19,80.00,40.00,1,-1,-1,-1
3,3,255.59,204.19,80.00,40.00,1,-1,-1,-1
4,1,407.67,255.75,80.00,40.00,1,-1,-1,-1
4,2,107.67,155.75,80.00,40.00,1,-1,-1,-1
4,3,257.67,205.75,80.00,40.00,1,-1,-1,-1
5,1,409.75,257.31,80.00,40.00,1,-1,-1,-1
5,2,109.75,157.31,80.00,40.00,1,-1,-1,-1
5,3,259.75,207.31,80.00,40.00,1,-1,-1,-1
6,1,411.81,258.86,80.00,40.00,1,-1,-1,-1
6,2,111.81,158.86,80.00,40.00,1,-1,-1,-1
6,3,261.81,208.86,80.00,40.00,1,-1,-1,-1
7,1,413.85,260.39,80.00,40.00,1,-1,-1,-1
7,2,113.85,160.39,80.00,40.00,1,-1,-1,-1
7,3,263.85,210.39,80.00,40.00,1,-1,-1,-1
8,1,415.88,261.91,80.00,40.00,1,-1,-1,-1
8,2,115.88,161.91,80.00,40.00,1,-1,-1,-1
8,3,265.88,211.91,80.00,40.00,1,-1,-1,-1
9,1,417.90,263.42,80.00,40.00,1,-1,-1,-1
9,2,117.90,163.42,80.00,40.00,1,-1,-1,-1
9,3,267.90,213.42,80.00,40.00,1,-1,-1,-1
10,1,419.91,264.94,80.00,40.00,1,-1,-1,-1
10,2,119.91,164.94,80.00,40.00,1,-1,-1,-1
10,3,269.91,214.94,80.00,40.00,1,-1,-1,-1
11,1,421.93,266.45,80.00,40.00,1,-1,-1,-1
11,2,121.93,166.45,80.00,40.00,1,-1,-1,-1
11,3,271.93,216.45,80.00,40.00,1,-1,-1,-1
12,1,423.94,267.95,80.00,40.00,1,-1,-1,-1
12,2,123.94,167.95,80.00,40.00,1,-1,-1,-1
12,3,273.94,217.95,80.00,40.00,1,-1,-1,-1
13,1,425.95,269.46,80.00,40.00,1,-1,-1,-1
13,2,125.95,169.46,80.00,40.00,1,-1,-1,-1
13,3,275.95,219.46,80.00,40.00,1,-1,-1,-1
14,1,427.95,270.96,80.00,40.00,1,-1,-1,-1
14,2,127.95,170.96,80.00,40.00,1,-1,-1,-1
14,3,277.95,220.96,80.00,40.00,1,-1,-1,-1
15,1,429.96,272.47,80.00,40.00,1,-1,-1,-1
15,2,129.96,172.47,80.00,40.00,1,-1,-1,-1
15,3,279.96,222.47,80.00,40.00,1,-1,-1,-1
16,1,431.96,273.97,80.00,40.00,1,-1,-1,-1
